Title,GGS Rating,Collected Classes,num_rank
EDBT/ICDT WORKSHOPS,C,C,1
EUROPEAN DEPENDABLE COMPUTING CONFERENCE,C,"B-, C, NC",1
EDUCATIONAL DATA MINING,B,"B, B, B",3
IEEE INTERNATIONAL ENTERPRISE DISTRIBUTED OBJECT COMPUTING CONFERENCE,B,"A-, B, B",3
INTERNATIONAL CONFERENCE ON ELECTRON DEVICES AND SOLID-STATE CIRCUITS,C,C,1
EUROPEAN DESIGN AND TEST CONFERENCE,C,C,1
GLOBAL ENGINEERING EDUCATION CONFERENCE,C,"B, C",1
INTERNATIONAL CONFERENCE ON E-LEARNING AND GAMES,C,C,1
INTERNATIONAL CONFERENCE ON E-PRODUCT E-SERVICE AND E-ENTERTAINMENT,C,C,1
CONVENTION OF ELECTRICAL AND ELECTRONICS ENGINEERS IN ISRAEL,C,C,1
INTERNATIONAL CONFERENCE ON ENVIRONMENT AND ELECTRICAL ENGINEERING,C,C,1
INTERNATIONAL CONFERENCE ON THE EUROPEAN ENERGY MARKET,C,C,1
EUROPEAN FREQUENCY AND TIME FORUM,C,C,1
EUROPEAN GRID CONFERENCE,B,B,3
ELECTRONIC GOVERNMENT,B,B,3
EUROGRAPHICS SYMPOSIUM ON PARALLEL GRAPHICS AND VISUALIZATION,C,"B, C",1
EUROGRAPHICS SYMPOSIUM ON RENDERING TECHNIQUES,A-,A-,4
EUROGRAPHICS SYMPOSIUM ON VIRTUAL ENVIRONMENTS,C,"B, C",1
NASA/DOD CONFERENCE ON EVOLVABLE HARDWARE,C,C,1
ELECTRICAL INSULATION CONFERENCE,C,C,1
ENGINEERING INTERACTIVE COMPUTING SYSTEM,C,"B, C, NC",1
IEEE PES INTERNATIONAL CONFERENCE AND EXHIBITION ON INNOVATIVE SMART GRID TECHNOLOGIES,C,C,1
EUROPEAN INTELLIGENCE AND SECURITY INFORMATICS CONFERENCE,C,C,1
ELECTRO/INFORMATION TECHNOLOGY,C,"C, C",1
EUROPEAN-JAPANESE CONFERENCE ON INFORMATION MODELLING AND KNOWLEDGE BASES,C,"C, C",1
INTERNATIONAL CONFERENCE ON KNOWLEDGE ENGINEERING AND KNOWLEDGE MANAGEMENT,B,"A-, B, B",3
INTERNATIONAL CONFERENCE ON ELECTRICAL AND ELECTRONICS ENGINEERING,C,C,1
INTERNATIONAL SYMPOSIUM ELMAR,C,C,1
INTERNATIONAL CONFERENCE ON ELECTRONIC PUBLISHING,C,C,1
INTERNATIONAL SYMPOSIUM ON ELECTROMAGNETIC LAUNCH TECHNOLOGY,C,C,1
"EMAS (MERGER OF DALT, AOSE AND PROMAS)",C,"B, C",1
INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY,A-,"A+, A-",4
INTERNATIONAL SYMPOSIUM ON ELECTROMAGNETIC COMPATIBILITY,C,C,1
INTERNATIONAL CONFERENCE ON ELECTRONIC MEASUREMENT AND INSTRUMENTS,C,C,1
ENERGY MINIMIZATION METHODS IN COMPUTER VISION AND PATTERN RECOGNITION,C,C,1
EXPLORING MODELLING METHODS IN SYSTEMS ANALYSIS AND DESIGN,C,C,1
IEEE WORKSHOP ON EMBEDDED NETWORKED SENSORS,B-,B-,2
EMPIRICAL METHODS IN NATURAL LANGUAGE PROCESSING,A+,"A++, A++, A",6
INTERNATIONAL CONFERENCE ON EVOLUTIONARY MULTI-CRITERION OPTIMIZATION,A-,"A-, A-",4
INTERNATIONAL CONFERENCE ON ENERGY MANAGEMENT AND POWER DELIVERY,C,C,1
EMS NETWORK CONFERENCE,C,C,1
ACM CONFERENCE ON EMBEDDED SOFTWARE,C,"A, A-, NC",1
INTERNATIONAL CONFERENCE ON EVALUATION OF NOVEL APPROACHES TO SOFTWARE ENGINEERING,C,"B, C",1
MEXICAN INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE,C,C,1
IEEE INTERNATIONAL ENERGY CONFERENCE,C,C,1
IEEE ENERGYTECH,C,C,1
INFORMATION AND COMMUNICATION TECHNOLOGIES IN TOURISM,C,"B, C",1
INTERNATIONAL WORKSHOP ON ENTERPRISE AND ORGANIZATIONAL MODELLING AND SIMULATION,C,C,1
ELECTRICAL OVERSTRESS/ELECTROSTATIC DISCHARGE SYMPOSIUM,C,C,1
EUROPEAN CONFERENCE ON POWER ELECTRONICS AND APPLICATIONS,B,B,3
ELECTRICAL POWER AND ENERGY CONFERENCE,C,C,1
ELECTRICAL PERFORMANCE OF ELECTRONIC PACKAGING,C,C,1
PORTUGUESE CONFERENCE ON ARTIFICIAL INTELLIGENCE,C,"B-, C, NC",1
ELECTRONICS PACKAGING TECHNOLOGY CONFERENCE,C,C,1
EUROPEAN MPI USERS GROUP CONFERENCE,C,"B, C, C",1
EUROPEAN QUANTUM ELECTRONICS CONFERENCE,C,C,1
INTERNATIONAL CONFERENCE ON CONCEPTUAL MODELING,B,"A, B, B",3
INTERNATIONAL CONFERENCE ON ENTITY-RELATIONSHIP APPROACH,C,C,1
ERCIM ANNUAL WORKSHOP ON CONSTRAINT SOLVING AND CONSTRAINT LOGIC PROGRAMMING,C,C,1
EUROPEAN SYMPOSIUM ON ALGORITHMS,A-,"A, A-, B",4
EXPLOITING SEMANTIC ANNOTATIONS IN INFORMATION RETRIEVAL,C,C,1
EUROPEAN SYMPOSIUM ON ARTIFICIAL NEURAL NETWORKS,B,"B, B, B",3
"ELECTRICAL SYSTEMS FOR AIRCRAFT, RAILWAY AND SHIP PROPULSION",C,C,1
EUROMICRO INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING AND APPLICATIONS,C,C,1
EUROPEAN SOFTWARE ENGINEERING CONFERENCE,B-,B-,2
ACM SIGSOFT CONFERENCE ON THE FOUNDATIONS OF SOFTWARE ENGINEERING,A+,"A++, A+, A+",6
INTERNATIONAL SYMPOSIUM ON EMPIRICAL SOFTWARE ENGINEERING AND MEASUREMENT,A-,"A, A, B",4
EUROPEAN CONFERENCE ON SERVICE-ORIENTED AND CLOUD COMPUTING,C,C,1
EUROPEAN SYMPOSIUM ON PROGRAMMING,A,"A, A, A",5
EUROPEAN SYMPOSIUM ON RESEARCH IN COMPUTER SECURITY,A+,"A+, A+, A",6
EUROPEAN CONFERENCE ON SOFTWARE PROCESS IMPROVEMENT,C,"B, C, C",1
EUROPEAN SOLID-STATE CIRCUITS CONFERENCE,B,"B, B",3
EUROPEAN SOLID-STATE DEVICE RESEARCH CONFERENCE,C,"C, C",1
ACM WORKSHOP ON EMBEDDED SENSING SYSTEMS FOR ENERGY-EFFICIENCY IN BUILDINGS,B-,B-,2
ENGINEERING SECURE SOFTWARE AND SYSTEMS,C,C,1
ELECTRONICS SYSTEM-INTEGRATION TECHNOLOGY CONFERENCE,C,C,1
EMBEDDED SYSTEMS FOR REAL-TIME MULTIMEDIA,C,"C, C",1
ELECTRIC SHIP TECHNOLOGIES SYMPOSIUM,C,C,1
EUROPEAN SEMANTIC WEB CONFERENCE,A-,"A+, A, B",4
INTERNATIONAL WORKSHOP ON EDUCATION TECHNOLOGY AND COMPUTER SCIENCE,C,C,1
INTERNATIONAL CONFERENCE ON EMERGING TRENDS IN ELECTRICAL AND COMPUTER TECHNOLOGY,C,C,1
EMERGING TECHNOLOGIES AND FACTORY AUTOMATION,B,"B, B",3
ETHICOMP CONFERENCE,B,B,3
EYE TRACKING RESEARCH AND APPLICATIONS,B,"A-, B, B",3
EUROPEAN TEST SYMPOSIUM,C,"B, C",1
ECLIPSE TECHNOLOGY EXCHANGE,B-,B-,2
EMBEDDED AND UBIQUITOUS COMPUTING,C,"B, C, C",1
EUROPEAN CONFERENCE ON ANTENNAS AND PROPAGATION,B,B,3
EUROPEAN CONFERENCE ON NETWORKS AND COMMUNICATIONS,C,C,1
EUROPEAN WORKSHOP ON MULTI-AGENT SYSTEMS,C,"B, C",1
EUROPEAN MICROWAVE CONFERENCE,B,B,3
EUROPEAN RADAR CONFERENCE,C,C,1
EUROPEAN CONFERENCE ON OPERATIONS RESEARCH,C,C,1
EUROPEAN DESIGN AUTOMATION CONFERENCE,B-,B-,2
EUROPEAN CONFERENCE ON PARALLEL COMPUTING,B,"A, B, B",3
COMPUTER AIDED SYSTEMS THEORY,C,"C, C",1
EUROPEAN WORKSHOP ON COMPUTATIONAL GEOMETRY,C,"C, C",1
EUROPEAN CONFERENCE ON COMPUTATIONAL LEARNING THEORY,B-,B-,2
CONFERENCE ON COMPUTER AS A TOOL,C,"B, C",1
INTERNATIONAL CONFERENCE ON THE THEORY AND APPLICATION OF CRYPTOGRAPHIC TECHNIQUES,A++,"A++, A++, A++",7
EUROPEAN CONFERENCE ON GENETIC PROGRAMMING,B,"A-, B, B",3
EUROGRAPHICS,A,A,5
INTERNATIONAL CONFERENCE ON HUMAN HAPTIC SENSING AND TOUCH ENABLED COMPUTER APPLICATIONS,C,C,1
EUROPEAN CONFERENCE ON INTERACTIVE TV,C,"B, C",1
EUROPEAN NATURAL LANGUAGE GENERATION WORKSHOP,C,C,1
EUROPEAN PUBLIC KEY INFRASTRUCTURE WORKSHOP,C,"C, C",1
EUROPEAN CONFERENCE ON PATTERN LANGUAGES OF PROGRAMS,C,"C, C, NC",1
IEEE EUROPEAN SYMPOSIUM ON SECURITY AND PRIVACY,C,"C, NC",1
EUROPEAN WORKSHOP ON SYSTEM SECURITY,B-,B-,2
"INTERNATIONAL CONFERENCE ON THERMAL, MECHANICAL AND MULTI-PHYSICS SIMULATION AND EXPERIMENTS IN MICROELECTRONICS AND MICROSYSTEMS",C,C,1
EUROPEAN CONFERENCE ON SMART SENSING AND CONTEXT,C,C,1
EUROPEAN CONFERENCE ON COMPUTER SYSTEMS,A+,"A+, A+, A",6
EUROGRAPHICS/IEEE SYMPOSIUM ON VISUALIZATION,B,"A, B",3
CONFERENCE OF THE EUROPEAN SOCIETY FOR FUZZY LOGIC AND TECHNOLOGIES,C,"C, C",1
EUROPEAN SIGNAL PROCESSING CONFERENCE,B,"B, B",3
INTERNATIONAL CONFERENCE ON EMERGING UBIQUITOUS SYSTEMS AND PERVASIVE NETWORKS,C,NC,1
"EUROCONFERENCE ON COMBINATORICS, GRAPH THEORY AND APPLICATIONS",C,C,1
"EUROPEAN CONFERENCE ON EVOLUTIONARY COMPUTATION, MACHINE LEARNING AND DATA MINING IN COMPUTATIONAL BIOLOGY",C,"C, C",1
CONFERENCE ON ELECTRONIC VOTING TECHNOLOGY/WORKSHOP ON TRUSTWORTHY ELECTIONS,B-,B-,2
EUROPEAN WIRELESS CONFERENCE,B,B,3
EVOWORKSHOPS ON APPLICATIONS OF EVOLUTIONARY COMPUTING,C,C,1
EUROMICRO WORKSHOP ON PARALLEL AND DISTRIBUTED PROCESSING,C,C,1
EUROPEAN CONFERENCE ON WIRELESS SENSOR NETWORKS,A-,"A+, B, B",4
EURO VIRTUAL REALITY,C,C,1
VISUAL ANALYTICS,C,C,1
INTERNATIONAL CONFERENCE ON FOUNDATIONS OF AUGMENTED COGNITION,C,C,1
FUNDAMENTAL APPROACHES TO SOFTWARE ENGINEERING,B,"A-, B, B",3
CONFERENCE ON FILE AND STORAGE TECHNOLOGIES,A+,"A+, A+, A",6
INTERNATIONAL FRONTIERS OF ALGORITHMICS WORKSHOP,C,"C, NC",1
FINANCIAL CRYPTOGRAPHY,A,"A+, A, A",5
FIELD-PROGRAMMABLE CUSTOM COMPUTING MACHINES,A-,"A, A-, B",4
ANNUAL SYMPOSIUM ON FREQUENCY CONTROL,B,B,3
INTERNATIONAL SYMPOSIUM ON FUNDAMENTALS OF COMPUTATION THEORY,B-,"B, B-, C",2
FOUNDATIONS OF DIGITAL GAMES,C,"B, C, C",1
FORUM ON SPECIFICATION AND DESIGN LANGUAGES,C,"C, C, C",1
WORKSHOP ON FAULT DIAGNOSIS AND TOLERANCE IN CRYPTOGRAPHY,B-,"A-, B-, C",2
FEDERATED CONFERENCE ON COMPUTER SCIENCE AND INFORMATION SYSTEMS,B-,"B, B-, C",2
INTERNATIONAL CONFERENCE ON FUTURE ENERGY SYSTEMS,C,C,1
INTERNATIONAL CONFERENCE ON FUTURE GENERATION COMMUNICATION AND NETWORKING,C,"C, C",1
FRONTIERS IN EDUCATION,B-,"B, B, C",2
INTERNATIONAL CONFERENCE ON FUNCTIONAL IMAGING AND MODELING OF HEART,C,C,1
FRONTIERS OF INFORMATION TECHNOLOGY,C,"C, C, NC",1
THE FLORIDA AI RESEARCH SOCIETY,B-,"B, B-, NC",2
INTERNATIONAL FLINS CONFERENCE ON ROBOTICS AND ARTIFICIAL INTELLIGENCE (WAS INTERNATIONAL FUZZY LOGIC AND INTELLIGENT TECHNOLOGIES IN NUCLEAR SCIENCE CONFERENCE),C,C,1
INTERNATIONAL SYMPOSIUM ON FUNCTIONAL AND LOGIC PROGRAMMING,C,"B-, C, NC",1
FORMAL METHODS,A,"A, A, A-",5
FORMAL METHODS IN COMPUTER-AIDED DESIGN,B,"B, B, B",3
FORMAL METHODS FOR INDUSTRIAL CRITICAL SYSTEMS,C,"C, C, C",1
INTERNATIONAL WORKSHOP ON FORMAL METHODS FOR INTERACTIVE SYSTEMS,C,C,1
FORMAL METHODS FOR OPEN OBJECT-BASED DISTRIBUTED SYSTEMS,B-,"B-, B-",2
FORMAL METHODS IN SECURITY ENGINEERING,B-,B-,2
THE INTERNATIONAL CONFERENCE ON FUTURE NETWORKS AND COMMUNICATIONS,C,NC,1
FUTURE NETWORK & MOBILE SUMMIT,C,C,1
FOUNDATIONS OF ASPECT-ORIENTED LANGUAGES WORKSHOP,C,C,1
FOUNDATIONS OF COMPUTATIONAL INTELLIGENCE,C,"B-, C",1
IEEE SYMPOSIUM ON FOUNDATIONS OF COMPUTER SCIENCE,A++,"A++, A++, A+",7
FOUNDATIONS OF GENETIC ALGORITHMS,B,"A, B, C",3
FOUNDATIONS OF INFORMATION AND KNOWLEDGE SYSTEMS,C,"C, C",1
INTERNATIONAL CONFERENCE ON FORMAL ONTOLOGY IN INFORMATION SYSTEMS,B-,"B, B-, C",2
FOUNDATIONS OF MOBILE COMPUTING,B-,B-,2
FORMAL ONTOLOGIES MEET INDUSTRY,C,C,1
FORMAL MODELING AND ANALYSIS OF TIMED SYSTEMS,C,"B, C",1
FOUNDATIONS OF SOFTWARE SCIENCE AND COMPUTATION STRUCTURE,B,"A, B, B",3
ACM/SIGDA INTERNATIONAL SYMPOSIUM ON FIELD-PROGRAMMABLE GATE ARRAYS,A,"A, A",5
FIELD-PROGRAMMABLE LOGIC AND APPLICATIONS,B,"A, B",3
FIELD-PROGRAMMABLE TECHNOLOGY,B-,B-,2
FLEXIBLE QUERY ANSWERING SYSTEMS,C,"C, C, C",1
FRONTIERS OF COMBINING SYSTEMS,C,"C, C",1
IEEE CONFERENCE OF THE OPEN INNOVATIONS ASSOCIATION FRUCT,C,NC,1
INTERNATIONAL CONFERENCE ON FORMAL STRUCTURES FOR COMPUTATION AND DEDUCTION,C,NC,1
FAST SOFTWARE ENCRYPTION WORKSHOP,A-,"A+, B",4
FUZZY SYSTEMS AND KNOWLEDGE DISCOVERY,C,"B, C",1
FIELD AND SERVICE ROBOTICS,C,"B, C",1
FOUNDATIONS OF SOFTWARE TECHNOLOGY AND THEORETICAL COMPUTER SCIENCE,B,"B, B, B",3
IEEE COMPUTER SOCIETY WORKSHOP ON FUTURE TRENDS OF DISTRIBUTED COMPUTING SYSTEMS,C,C,1
SYMPOSIUM ON FUSION TECHNOLOGY,B,B,3
WORKSHOP ON FORMAL TECHNIQUES FOR JAVA-LIKE PROGRAMS,C,C,1
"INTERNATIONAL CONFERENCE ON FUEL CELL SCIENCE, ENGINEERING AND TECHNOLOGY, FUELCELL COLLOCATED WITH ASME INTERNATIONAL CONFERENCE ON ENERGY SUSTAINABILITY",C,C,1
CONFERENCE ON FUN WITH ALGORITHMS,C,NC,1
INTERNATIONAL CONFERENCE ON INFORMATION FUSION,B-,"A-, B, C",2
IEEE INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS,B,"A-, B, B",3
IEEE GALLIUM ARSENIDE INTEGRATED CIRCUIT SYMPOSIUM,C,C,1
DECISION AND GAME THEORY FOR SECURITY,C,C,1
GERMAN CONFERENCE ON BIOINFORMATICS,C,C,1
GRID AND COOPERATIVE COMPUTING,C,C,1
GRID COMPUTING ENVIRONMENTS,B-,B-,2
GERMAN CONFERENCE ON PATTERN RECOGNITION,C,C,1
GRAPH DRAWING,B,"A, B, B",3
INTERNATIONAL CONFERENCE OF SOCIETY FOR GROUP DECISION AND NEGOTIATION,C,C,1
GENETIC AND EVOLUTIONARY COMPUTATION CONFERENCE,A,"A, A, A",5
GRID ECONOMICS AND BUSINESS MODELS,C,"C, C",1
INTERNATIONAL WORKSHOP ON GENETIC AND EVOLVING FUZZY SYSTEMS,C,C,1
GERMAN MICROWAVE CONFERENCE,C,C,1
IEEE INTERNATIONAL WORKSHOP ON GENOMIC SIGNAL PROCESSING AND STATISTICS,C,C,1
INTERNATIONAL CONFERENCE ON GEOINFORMATICS,C,C,1
INTERNATIONAL CONFERENCE ON GROUP IV PHOTONICS,C,C,1
INTERNATIONAL WORKSHOP ON GRAPH-GRAMMARS AND THEIR APPLICATION TO COMPUTER SCIENCE,B-,B-,2
GLOBAL HUMANITARIAN TECHNOLOGY CONFERENCE,C,C,1
GRAPHICS INTERFACE,A-,"A, A, B",4
GLOBAL INFORMATION INFRASTRUCTURE AND NETWORKING SYMPOSIUM,C,"C, C",1
GEOGRAPHIC INFORMATION RETRIEVAL,C,"B, C",1
GEOGRAPHIC INFORMATION SCIENCE,C,"B, C",1
IEEE GLOBAL CONFERENCE ON SIGNAL AND INFORMATION PROCESSING,C,C,1
IEEE GLOBAL TELECOMMUNICATIONS CONFERENCE,A-,"A, A, B",4
ACM GREAT LAKES SYMPOSIUM ON VLSI,B,"B, B",3
GEOMETRIC MODELING AND PROCESSING,C,"B, C",1
ADVANCES IN GRID AND PERVASIVE COMPUTING,B-,"A+, C, C",2
INTERNATIONAL CONFERENCE ON GENERATIVE PROGRAMMING AND COMPONENT ENGINEERING,A-,"A-, A-, B",4
GENERAL PURPOSE PROCESSING ON GRAPHICS PROCESSING UNITS,B-,B-,2
INTERNATIONAL CONFERENCE ON COMPUTER GRAPHICS THEORY AND APPLICATIONS,C,"C, C",1
GRANULAR COMPUTING,B,B,3
GRAPHICS RECOGNITION,C,"C, C",1
GREEN COMPUTING AND COMMUNICATIONS,C,C,1
GREEN TECHNOLOGIES CONFERENCE,C,C,1
GRID COMPUTING,A-,"A, A-",4
INTERNATIONAL CONFERENCE ON SUPPORTING GROUP WORK,A-,"A, A-",4
INTERNATIONAL CONFERENCE ON GAME THEORY FOR NETWORKS,C,C,1
INTERNATIONAL WORDNET CONFERENCE (GLOBAL WORDNET CONFERENCE),C,C,1
SIMPÓSIO BRASILEIRO DE GEOINFORMÁTICA,C,C,1
CONFERENCE ON DATA MANAGEMENT IN GRID AND P2P SYSTEMS,C,C,1
WORKSHOP ON APPLICATIONS OF GRAPH THEORY IN WIRELESS AD HOC NETWORKS AND SENSOR NETWORKS,C,C,1
IEEE INTERNATIONAL WORKSHOP ON HAPTIC AUDIO VISUAL ENVIRONMENTS AND GAMES,C,C,1
HUMAN-AGENT INTERACTION,B,B,3
INTERNATIONAL CONFERENCE ON HYBRID ARTIFICIAL INTELLIGENCE SYSTEMS,C,"C, C, NC",1
IEEE HAPTICS SYMPOSIUM,B,"A-, B",3
IEEE INTERNATIONAL SYMPOSIUM ON HIGH ASSURANCE SYSTEMS ENGINEERING,B-,"B, B, C",2
HASKELL WORKSHOP,B-,"A-, B-, C",2
HUMANS AND COMPUTERS,C,C,1
IEEE SYMPOSIA ON HUMAN-CENTRIC COMPUTING LANGUAGES AND ENVIRONMENTS,C,C,1
AAAI CONFERENCE ON HUMAN COMPUTATION AND CROWDSOURCING,B,B,3
IEEE HOT CHIPS SYMPOSIUM,C,"C, C, C",1
HETEROGENEITY IN COMPUTING WORKSHOP,B,B,3
HCIST - INTERNATIONAL CONFERENCE ON HEALTH AND SOCIAL CARE INFORMATION SYSTEMS AND TECHNOLOGIES,C,NC,1
IEEE INTERNATIONAL CONFERENCE ON EHEALTH NETWORKING APPLICATIONS AND SERVICES (WAS INTERNATIONAL WORKSHOP ON ENTERPRISE NETWORKING AND COMPUTING IN HEALTH CARE INDUSTRY; CHANGED 2006),C,"C, C, C",1
INTERNATIONAL CONFERENCE ON HEALTH INFORMATICS,C,C,1
HEALTH INFORMATICS CONFERENCE,C,"C, NC",1
ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES,A,"A+, A",5
IEEE INTERNATIONAL WORKSHOP ON HORIZONTAL INTERACTIVE HUMAN-COMPUTER SYSTEMS,B-,B-,2
INTERNATIONAL CONFERENCE ON HIGH PERFORMANCE COMPUTING,B,"A, B, NC",3
HIGH PERFORMANCE EMBEDDED ARCHITECTURES AND COMPILERS,C,C,1
INTERNATIONAL WORKSHOP ON HIGH-LEVEL PARALLEL PROGRAMMING MODELS AND SUPPORTIVE ENVIRONMENTS,C,C,1
INTERNATIONAL CONFERENCE ON HYBRID INTELLIGENT SYSTEMS,C,"B, C, C",1
HIGH LEVEL DESIGN VALIDATION AND TEST,C,C,1
INTERNATIONAL WORKSHOP ON HIGH-LEVEL PARALLEL PROGRAMMING AND APPLICATIONS,C,C,1
HUMAN LANGUAGE TECHNOLOGY,A-,A-,4
INTERNATIONAL CONFERENCE ON HUMAN LANGUAGE TECHNOLOGY RESEARCH,B-,B-,2
INTERNATIONAL WORKSHOP ON HYBRID METAHEURISTICS,B,B,3
HOLM CONFERENCE ON ELECTRICAL CONTACTS,C,C,1
ACM SIGPLAN CONFERENCE ON HISTORY OF PROGRAMMING LANGUAGES,B-,B-,2
HARDWARE-ORIENTED SECURITY AND TRUST,B,"A-, B",3
USENIX CONFERENCE ON HOT TOPICS IN CLOUD CCOMPUTING,C,C,1
HOT TOPICS IN SYSTEM DEPENDABILITY,C,C,1
IEEE SYMPOSIUM ON HIGH-PERFORMANCE INTERCONNECTS,A-,"A-, A-, NC",4
WORKSHOP ON MOBILE COMPUTING SYSTEMS AND APPLICATIONS,A-,"A-, A-, NC",4
ACM WORKSHOP ON HOT TOPICS IN NETWORKS,A-,"A-, A-, NC",4
USENIX WORKSHOP ON HOT TOPICS IN OPERATING SYSTEMS,B,"A, A-, B-",3
USENIX CONFERENCE ON HOT TOPICS IN PARALLELISM,B-,B-,2
WORKSHOP ON POWER AWARE COMPUTING AND SYSTEMS,B-,B-,2
USENIX CONFERENCE ON HOT TOPICS IN SECURITY,B-,B-,2
USENIX CONFERENCE ON HOT TOPICS IN STORAGE AND FILE SYSTEMS,B-,B-,2
IEEE WORKSHOP ON HOT TOPICS IN WEB SYSTEMS AND TECHNOLOGIES,C,C,1
INTERNATIONAL CONFERENCE AND EXHIBITION ON HIGH PERFORMANCE COMPUTING IN THE ASIA-PACIFIC REGION,C,C,1
HIGH-PERFORMANCE COMPUTER ARCHITECTURE,A+,"A++, A+, A+",6
HIGH PERFORMANCE COMPUTING AND COMMUNICATIONS,C,"B, C",1
IEEE INTERNATIONAL CONFERENCE ON HIGH PERFORMANCE COMPUTING AND SIMULATION,B-,"B, B, C",2
ACM INTERNATIONAL SYMPOSIUM ON HIGH PERFORMANCE DISTRIBUTED COMPUTING,A,"A+, A, A",5
IEEE HIGH PERFORMANCE EXTREME COMPUTING CONFERENCE,C,C,1
HIGH PERFORMANCE GRAPHICS,B-,B-,2
INTERNATIONAL CONFERENCE ON HIGH PERFORMANCE SCIENTIFIC COMPUTING,C,NC,1
HIGH PERFORMANCE SWITCHING AND ROUTING,C,"C, C",1
HUMAN-ROBOT INTERACTION,A,"A, A",5
ACM INTERNATIONAL CONFERENCE HYBRID SYSTEMS: COMPUTATION AND CONTROL,A-,A-,4
HUMAN SYSTEM INTERACTION,C,"C, C",1
IEEE INTERNATIONAL CONFERENCE ON TECHNOLOGIES FOR HOMELAND SECURITY,C,C,1
IEEE RAS INTERNATIONAL CONFERENCE ON HUMANOIDS ROBOTS,B,"A-, B",3
HAIFA VERIFICATION CONFERENCE,C,"C, C",1
HUMAN VISION AND ELECTRONIC IMAGING CONFERENCE,B,B,3
SIGGRAPH/EUROGRAPHICS CONFERENCE ON GRAPHICS HARDWARE,B-,B-,2
ACM CONFERENCE ON HYPERTEXT,B,"A, B",3
HOLONIC AND MULTI-AGENT SYSTEMS FOR MANUFACTURING,C,C,1
IEEE/IAS INDUSTRIAL AND COMMERCIAL POWER SYSTEMS TECHNICAL CONFERENCE,C,C,1
INTERNATIONAL CONFERENCE ON KNOWLEDGE MANAGEMENT AND KNOWLEDGE TECHNOLOGIES,C,C,1
INTERNATIONAL CONFERENCE ON SEMANTIC SYSTEMS,C,"B, C, NC",1
INTERNATIONAL CONFERENCE ON INFORMATION SOCIETY,C,C,1
"INTERNATIONAL SYMPOSIUM ON PARALLEL ARCHITECTURES, ALGORITHMS AND NETWORKS",B-,"B, B-, C",2
ACM SYMPOSIUM ON INTERACTIVE 3D GRAPHICS AND GAMES,A,"A+, A+, B",5
IFIP CONFERENCE ON E-COMMERCE E-BUSINESS AND E-GOVERNMENT,C,C,1
INTERNATIONAL CONFERENCE ON INNOVATIONS FOR COMMUNITY SERVICES (WAS INNOVATIVE INTERNET COMPUTER SYSTEMS IICS UNTIL 2014),C,C,1
INTELLIGENT AGENTS,A-,A-,4
CONFERENCE ON INNOVATIVE APPLICATIONS IN ARTIFICIAL INTELLIGENCE,B-,"B, B, C",2
IEEE INTERNATIONAL ADVANCE COMPUTING CONFERENCE,C,C,1
IADIS INTERNATIONAL CONFERENCE APPLIED COMPUTING,C,C,1
INTERNATIONAL CONFERENCE ON INDUSTRIAL APPLICATIONS OF HOLONIC AND MULTI-AGENT SYSTEMS,C,C,1
INTERNATIONAL CONFERENCE ON ADVANCES IN INFORMATION TECHNOLOGY,C,C,1
IEEE INDUSTRY APPLICATIONS SOCIETY ANNUAL CONFERENCE,A-,"A++, B, NC",4
IASTED INTERNATIONAL CONFERENCE ON INTELLIGENT SYSTEMS AND CONTROL,C,NC,1
ACM INTERNATIONAL CONFERENCE ON INTELLIGENT AGENT TECHNOLOGY,B,"A, B, B",3
"INTERNATIONAL CONFERENCE ON INTELLIGENT AGENTS, WEB TECHNOLOGIES, AND INTERNET COMMERCE",B,B,3
IBERO-AMERICAN ARTIFICIAL INTELLIGENCE CONFERENCE,C,"C, C",1
INTERNATIONAL CONFERENCE ON INNOVATIONS IN BIO-INSPIRED COMPUTING AND APPLICATIONS,C,C,1
IBERIAN CONFERENCE ON PATTERN RECOGNITION AND IMAGE ANALYSIS,C,C,1
INTERNATIONAL CONFERENCE ON INTERNET COMPUTING,C,C,1
INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE,C,"B, NC",1
INTERNATIONAL CONFERENCE ON CONTEMPORARY COMPUTING,C,C,1
"INTERNATIONAL JOINT CONFERENCE ON KNOWLEDGE DISCOVERY, KNOWLEDGE ENGINEERING AND KNOWLEDGE MANAGEMENT",C,"C, C",1
INTERNATIONAL CONFERENCE ON ALGORITHMS AND ARCHITECTURES FOR PARALLEL PROCESSING,C,"B, C, C",1
INTERNATIONAL CONFERENCE ON AGENTS AND ARTIFICIAL INTELLIGENCE,C,"B, C",1
IEEE INTERNATIONAL CONFERENCE ON AUTONOMIC COMPUTING,B,"A, B, B",3
INTERNATIONAL CONFERENCE ON ADVANCED COMPUTER SCIENCE AND INFORMATION SYSTEMS,C,C,1
INTERNATIONAL CONFERENCE ON ADVANCED COMMUNICATION TECHNOLOGY,C,C,1
INTERNATIONAL CONFERENCE ON ADVANCED COMPUTER THEORY AND ENGINEERING,C,C,1
